timestamp,image_hash,card_name,mana_cost,card_type,set_symbol,ocr_success,cache_hit,processing_time
2025-08-08 11:47:26,a708935787d3ace89c7cb7ec99e89acbdfc8dd38db72cc60dca6d4e6c9723e11,,,the,,False,False,3.874084
2025-08-08 11:47:34,bf12a34aadc9acf6bc7ca6a4b9acb96dbf64dd8cfd19d330dcb2d893d6e7d8b9,,,,,False,False,3.066685
2025-08-08 11:47:45,af30b34785d9acf49c7ca7ecb9acb96d9fc5dd8cd93ad730dcb2da42dceb09b9,,,,,False,False,2.81464
2025-08-08 11:48:48,670daf0db65707d72dd9bc75ae6d3b6c3bc9becbb909fc3af2729d60b0a6ddec,,,,,False,False,3.12474
2025-08-08 11:48:54,df0d7ef28ed7db91d9ec78fdccedf34c72c97ecf7309fa38e6729c607966e926,,,,,False,False,2.800827
2025-08-08 11:48:58,4f0d7ef206d7599159e4787d456c734c72c97ecdfb09fa3ae6729960f126edc6,,,,,False,False,2.841115
2025-08-08 11:49:09,377817583cfc61fc666c3ccf39c61fa44fe01be479725e336d9e7f0f1b4c3dd5,,,,,False,False,2.807789
2025-08-08 11:50:02,a78cbb42874bacd9bc74ae6cb9ac99ed9f6fdd8ddc1cd130deb0d882dee64dbb,,,,,False,False,3.326809
2025-08-08 11:50:20,f6194f652f4cd9de597b5a7fcd7777b7f366ee6632c7fb06fa06e23a9e787938,Ape,,,,False,False,2.799936
2025-08-08 11:50:25,d6e9d9e4c7ecdb3ddb2fcf8fdbaeded69e769eecd64cde60df00dc40d145cb96,,7,,,False,False,2.844343
2025-08-08 11:50:32,8f81b76ccf321736ede6dcbd7c3cdd2bc6d973db79b3d739fb727181ec41e90a,,,NP,,False,False,2.890855
2025-08-08 11:51:46,ef7da765adecddf23c3b5f76e6b7bbb673667b6639867c0cf338cc303c83f493,,,,,False,False,3.736631
2025-08-08 11:52:42,a786bf29836bb4ecbcb29e3eb3b69db69d65dde4de8cd939d730de93da63ccbb,ES,,LoS,,False,False,3.170255
2025-08-08 11:52:56,f7869f2b836b96ec9e3a973699b69da69b65dde4de8ed938c630dcd1da51d6af,,,,,False,False,2.860937
2025-08-08 11:52:59,af0d32570fd92dd13c752e6d3bec3b4dbecdbb0dbd1af2708c60b9a2b4c7997b,,,,,False,False,2.924413
2025-08-08 11:53:19,d785df63874b94f99e3497349dac9d6ddf65dc8cd93ad530dcb2da53c0a14cb9,Ce,,,,False,False,2.858979
2025-08-08 12:01:48,4f0a7e22069e5bb259e85cfa67d873d87496b390fa30e6e498c0b94ca988b2ec,ese,,,,False,False,2.514209
2025-08-08 16:39:48,5e346d9c5f2c5bc458f4469076b07dbc3734fa78e4c89ac87b48298932eacd12,,,ue,,False,False,3.150077
2025-08-08 16:41:29,af0a3ef60e9629923c6a6e4833583adabacabb18fa34a260b964b48481449177,,,,,False,False,2.88016
2025-08-08 16:46:22,4f095e3126d70b9359ed38fd4d48735c72d97ecbbb19fa3ee27299607166e9a6,,,,,False,False,2.186417
2025-08-08 16:48:04,220dde1afc620eae5bb258ea3cfa67d833dabe9edb18fa74de64dc84e8f48977,eG,,,,False,False,2.322085
2025-08-08 16:48:08,cf094f1976d50e9729923868ae68bb48bbdadfcadd18f374ece4ece4ecf49923,gS,,,,False,False,2.246561
2025-08-08 16:48:14,6786af98b36b8768b4fc9c3e97369db6dde4dfe4ee8c69b866306e42747acc99,,,a,,False,False,2.227928
2025-08-08 16:49:05,67b51fa46ce43cb92e3f66b339d73976bb6699c2a41ad9298e30b093def3d9bf,AWS,,,,False,False,2.19403
2025-08-08 16:49:27,4f0d7e7206d7499159e45c7d456d734c72c976c97b09fa3ef6f219606b66e986,,,,,False,False,2.036866
2025-08-08 16:49:33,cf0cfe3066d62e91db9878f4dcece76c774ce4c976cdf30df01ec6f038607b46,,,,,False,False,2.086137
2025-08-08 16:49:36,4f065f98664b0f4959d878765e7ce5e6b32e72cc7ac77304f80ce2389e703922,,,,,False,False,2.20474
2025-08-08 16:49:39,cf067e79a64bc9d8d976787ece6673ae736c66cd33c4fb0cfa3be27019607922,,,iy,,False,False,2.190566
2025-08-08 16:49:48,de1a5e622cae5ba65bca78fa4ed87690759677927a30e4e4dcc47b4ce9cc32ec,,,,,False,False,2.051879
2025-08-08 16:49:52,5e3176d70e93599978e55ce9774c735976cb3389fb38e272de60b966f1a6a9de,Ae,,aS,,False,False,2.417646
2025-08-08 16:49:55,4fb076560fd969d938744e6c73ec7b6c76cbbbcdbd1cf2328e70bda2b4a2bdfe,,,mes,,False,False,2.304995
2025-08-08 16:49:59,beb0c6d6aed1d9d858745c7cc56c736c72cd76cd7b0cfa3ee2709c6079a2e823,,,mae,,False,False,2.073298
2025-08-08 16:50:31,de1a7cae0daed33270ca9cdae6d86692ed967792f270e4e4bcc072cce34c5bbc,,,,,False,False,2.040031
2025-08-08 16:50:36,af09be7606d729923c6c2e6833483bdbbecabb08b83cf2708d60b126bdce9976,,,,,False,False,2.184783
